mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.235,0.918,2.776,0.449,0.716,0.368,4.31,28.585,0.0
0.424,0.887,2.15,0.387,0.635,0.196,3.368,19.608,0.0
0.518,0.871,1.827,0.394,0.638,0.155,3.015,19.634,0.0
0.6,0.85,1.686,0.37,0.707,0.147,2.91,18.429,0.0
0.615,0.84,1.661,0.375,0.73,0.148,2.914,18.796,0.0
0.79,0.816,1.484,0.346,0.79,0.165,2.784,17.865,0.0
0.795,0.814,1.362,0.348,0.8,0.155,2.665,17.835,0.0
0.826,0.806,1.495,0.342,0.788,0.173,2.797,17.875,0.0
0.863,0.813,1.356,0.34,0.752,0.158,2.605,18.03,0.0
0.857,0.8,1.333,0.338,0.801,0.16,2.633,17.726,0.0
1.009,0.791,1.329,0.341,0.815,0.17,2.655,17.544,0.0
1.046,0.788,1.283,0.334,0.804,0.175,2.597,17.544,0.0
1.025,0.794,1.243,0.323,0.786,0.165,2.517,17.99,0.0
1.09,0.788,1.111,0.322,0.785,0.181,2.399,17.374,0.0
1.105,0.784,1.144,0.318,0.81,0.177,2.448,17.402,0.0
1.065,0.796,1.121,0.324,0.771,0.164,2.381,17.149,0.0
1.141,0.786,1.101,0.316,0.787,0.166,2.37,17.369,0.0
1.137,0.795,1.069,0.307,0.769,0.166,2.31,17.191,0.0
1.217,0.79,1.129,0.301,0.771,0.17,2.371,16.786,0.0
1.191,0.784,0.999,0.302,0.774,0.166,2.242,17.168,0.0
1.161,0.794,1.057,0.3,0.761,0.168,2.285,16.569,0.0
1.152,0.791,0.991,0.314,0.763,0.164,2.232,17.478,0.0
1.287,0.782,1.008,0.293,0.764,0.167,2.232,16.825,0.0
1.187,0.781,0.922,0.299,0.779,0.17,2.17,17.335,0.0
1.333,0.777,0.96,0.285,0.778,0.181,2.204,16.804,0.0
1.228,0.782,0.94,0.302,0.746,0.164,2.152,16.979,0.0
1.178,0.782,0.923,0.292,0.786,0.165,2.167,17.034,0.0
1.237,0.782,0.882,0.296,0.763,0.164,2.104,16.883,0.0
1.405,0.781,0.904,0.288,0.759,0.171,2.121,16.428,0.0
1.303,0.777,0.817,0.28,0.753,0.169,2.019,16.123,0.0
1.294,0.792,1.015,0.283,0.725,0.161,2.183,16.986,0.0
1.333,0.782,0.89,0.28,0.737,0.169,2.076,16.301,0.0
1.281,0.781,0.894,0.285,0.774,0.171,2.124,16.436,0.0
1.314,0.784,0.903,0.294,0.744,0.165,2.106,16.549,0.0
1.358,0.787,0.897,0.29,0.739,0.164,2.09,16.465,0.0
1.286,0.79,0.825,0.274,0.736,0.154,1.99,16.801,0.0
1.405,0.775,0.859,0.28,0.749,0.177,2.065,16.707,0.0
1.314,0.789,0.819,0.278,0.73,0.17,1.997,16.983,0.0
1.249,0.789,0.88,0.274,0.736,0.165,2.055,17.227,0.0
1.398,0.782,0.824,0.276,0.758,0.168,2.025,17.073,0.0
1.4,0.781,0.779,0.27,0.735,0.166,1.95,16.23,0.0
1.408,0.781,0.8,0.259,0.731,0.164,1.954,16.365,0.0
